主办城市,主办国家,届数,年份,开始时间,结束时间,参加人数,参加国家数
Chamonix,France,I ,1924,24-Jan,5-Feb,312,19 countries
Sankt Moritz,Switzerland,II ,1928,11-Feb,17-Feb,460,25 countries
Lake Placid,United States,III ,1932,4-Feb,13-Feb,251,17 countries
Garmisch-Partenkirchen,Germany,IV ,1936,6-Feb,16-Feb,669,28 countries
Sankt Moritz,Switzerland,V ,1948,30-Jan,8-Feb,667,28 countries
Oslo,Norway,VI ,1952,15-Feb,25-Feb,694,30 countries
Cortina d'Ampezzo,Italy,VII ,1956,26-Jan,5-Feb,821,32 countries
Squaw Valley,United States,VIII ,1960,18-Feb,28-Feb,665,30 countries
Innsbruck,Austria,IX ,1964,29-Jan,9-Feb,1094,36 countries
Grenoble,France,X ,1968,6-Feb,18-Feb,1160,37 countries
Sapporo,Japan,XI ,1972,3-Feb,13-Feb,1005,35 countries
Innsbruck,Austria,XII ,1976,4-Feb,15-Feb,1129,37 countries
Lake Placid,United States,XIII ,1980,13-Feb,24-Feb,1072,37 countries
Sarajevo,Yugoslavia,XIV ,1984,8-Feb,19-Feb,1273,49 countries
Calgary,Canada,XV ,1988,13-Feb,28-Feb,1424,57 countries
Albertville,France,XVI ,1992,8-Feb,23-Feb,1801,64 countries
Lillehammer,Norway,XVII ,1994,12-Feb,27-Feb,1738,67 countries
Nagano,Japan,XVIII ,1998,7-Feb,22-Feb,2180,72 countries
Salt Lake City,United States,XIX ,2002,8-Feb,24-Feb,2399,77 countries
Torino,Italy,XX ,2006,10-Feb,26-Feb,2494,79 countries
Vancouver,Canada,XXI ,2010,12-Feb,28-Feb,2536,82 countries
Sochi,Russian Federation,XXII ,2014,7-Feb,23-Feb,2747,89 countries
PyeongChang,Republic of Korea,XXIII ,2018,9-Feb,25-Feb,2793,93 countries
